title,source,summary
"What Supreme Court Said On ""Allegations"" In Religious Conversion Plea","Press Trust of India   | Monday December 12, 2022, New Delhi                                                        
                                                        ","A Supreme Court bench hearing a petition against forced religious conversions asked the petitioner's lawyer to consider moderating the averments made in the plea, after a senior advocate said ""serious and vexatious"" allegations have been made."
"""There Might Be Arguments..."": Argentina Coach Lionel Scaloni On Stormy World Cup Clash With Netherlands","Agence France-Presse   | Monday December 12, 2022                                                        
                                                        ",Argentina team was heavily criticised following its bad-tempered last-eight clash with the Netherlands last week
"MeitY Blocks Pakistan-Based OTT Platform's Website, Social Media Sites","Press Trust of India   | Monday December 12, 2022                                                        
                                                        ","The government on Monday issued directions for blocking a Pakistan-based OTT platform's website, two mobile applications, four social media accounts and smart TV app."
"Former Google Executive Shares Pic Of ""Most Precious"" Snack He Takes Back From India","
															Edited by Bhavya Sukheja  | Monday December 12, 2022                                                        
                                                        ","Parminder Singh, former Managing Director of Google and Twitter, recently shared a picture of a beloved snack that he packs in large quantities every time he heads to Singapore."
AILET 2023: Provisional Answer Key Out; Direct Link Here,"
															Written by Arpita Das  | Monday December 12, 2022                                                        
                                                        ",The AILET answer key 2023 is available on the official website of NLU- nationallawuniversitydelhi.in.
"Royals ""Happy To Lie"" For Prince William, Claims Prince Harry In New Netflix Trailer","Agence France-Presse   | Monday December 12, 2022, London                                                        
                                                        ","The trailer for the latest episodes of the docuseries on Prince Harry and his wife Meghan was released on Monday, with the royal feud set to escalate with a claim that Buckingham Palace was ""happy to lie"" for his brother William."
Watch: Driver Drags Traffic Cop On Bonnet Of His Car In Madhya Pradesh,"Press Trust of India   | Monday December 12, 2022, Indore, Madhya Pradesh                                                        
                                                        ",A traffic policeman was taken for a ride while perched dangerously on the bonnet of a car after he intercepted the driver for talking on the mobile phone in Madhya Pradesh's Indore on Monday.
Golden Globes 2023: RRR To Brendan Fraser - Full List Of Nominees,"
															Written by Gitanjali Roy  | Monday December 12, 2022                                                        
                                                        ",RRR scored two nominations - Best Non-English Language Film and Best Original Song for Naatu Naatu
Injury-hit India Chase Vital Test Points Against Bangladesh,"Agence France-Presse   | Monday December 12, 2022                                                        
                                                        ",Bangladesh will also be buoyed after winning the one-day series 2-1 in afurther demonstration of India's white-ball frailties ahead of hosting next year's 50-over World Cup.
Indian-Origin Police Officer Guilty Of Misconduct For Lying In UK,"Press Trust of India   | Monday December 12, 2022, London                                                        
                                                        ",An Indian-origin police officer in the West Midlands Police has been found guilty of gross misconduct after she was found to have concocted a detailed story concerning discriminatory behaviour within the force for personal benefit.
"Amazon Delivery Agent Leaves ""Movie Review"" With DVD Order. See Viral Post","
															Edited by Bhavya Sukheja  | Monday December 12, 2022                                                        
                                                        ",An unexpected note from an Amazon delivery executive has caught the attention of internet users after a customer shared a picture of the package they received on Reddit.
BJP MP Wants His Development Funds To Be Used For Bhajans In Temples,"Press Trust of India   | Monday December 12, 2022, Ballia (Uttar Pradesh)                                                        
                                                        ","Ballia's BJP MP Virendra Singh Mast has directed officials to use his MPLADS fund for organising ""bhajan-kirtans"" at temples, an unorthodox use of a fund meant for development work at the constituency level."
"Viral Video: Son Surprises Dad With His Dream Bike, His Reaction Is Priceless","
															Edited by Ritu Singh  | Monday December 12, 2022                                                        
                                                        ","In a video posted on Instagram, the son gifted his father his favourite bike on realizing how much he loved the bike."
WhatsApp Spotted Working on 'View Once' Text Messages on Latest Android Beta,"
															Written by Himani Jha , Edited by David Delima  | Monday December 12, 2022                                                        
                                                        ","WhatsApp is working on a feature that will allow to send view once text messages on the popular messaging app. The service introduced the “view once” feature for images and videos last year, and this could soon be extended to text messages."
1 Woman Among 16 Ministers In New Gujarat Cabinet,"Press Trust of India   | Monday December 12, 2022, Gandhinagar                                                        
                                                        ","Bharatiya Janata Party (BJP) leader Bhupendra Patel on Monday took oath as the Chief Minister of Gujarat for a second straight term at a star-studded ceremony in Gandhinagar along with a 16-member Council of Ministers, which included one woman."
